# 港中深操场绕圈：中心(22.691000,114.207500) 每圈约398m，12km/h一圈约2分钟
# 起跑方向：沿下直道向东
22.6906721,114.2070892
22.6906721,114.2071699
22.6906721,114.2072507
22.6906721,114.2073314
22.6906721,114.2074122
22.6906721,114.2074929
22.6906721,114.2075737
22.6906721,114.2076545
22.6906721,114.2077352
22.6906721,114.2078160
22.6906721,114.2078967
22.6906779,114.2079771
22.6906999,114.2080541
22.6907374,114.2081237
22.6907884,114.2081823
22.6908502,114.2082270
22.6909198,114.2082554
22.6909935,114.2082662
22.6910675,114.2082586
22.6911381,114.2082332
22.6912015,114.2081912
22.6912546,114.2081348
22.6912946,114.2080669
22.6913195,114.2079909
22.6913279,114.2079108
22.6913279,114.2078301
22.6913279,114.2077493
22.6913279,114.2076686
22.6913279,114.2075878
22.6913279,114.2075071
22.6913279,114.2074263
22.6913279,114.2073455
22.6913279,114.2072648
22.6913279,114.2071840
22.6913279,114.2071033
22.6913221,114.2070229
22.6913001,114.2069459
22.6912626,114.2068763
22.6912116,114.2068177
22.6911498,114.2067730
22.6910802,114.2067446
22.6910065,114.2067338
22.6909325,114.2067414
22.6908619,114.2067668
22.6907985,114.2068088
22.6907454,114.2068652
22.6907054,114.2069331
22.6906805,114.2070091
